站点编号,站点名称,平面坐标系x,平面坐标系y,起始时间,结束时间,降雨量
F1070,汽车北站,431350.338,2889504.369,2017/10/31 20:50:00,2017/10/31 21:00:00,0
F1070,汽车北站,431351.338,2889505.369,2017/10/31 21:00:00,2017/10/31 21:10:00,0
F1070,汽车北站,431352.338,2889506.369,2017/10/31 21:10:00,2017/10/31 21:20:00,0
F1070,汽车北站,431353.338,2889507.369,2017/10/31 21:20:00,2017/10/31 21:30:00,0
F1070,汽车北站,431354.338,2889508.369,2017/10/31 21:30:00,2017/10/31 21:40:00,0
F1070,汽车北站,431355.338,2889509.369,2017/10/31 21:40:00,2017/10/31 21:50:00,0
F1070,汽车北站,431356.338,2889510.369,2017/10/31 21:50:00,2017/10/31 22:00:00,0
F1070,汽车北站,431357.338,2889511.369,2017/10/31 22:00:00,2017/10/31 22:10:00,0
F1070,汽车北站,431358.338,2889512.369,2017/10/31 22:10:00,2017/10/31 22:20:00,0
F1070,汽车北站,431359.338,2889513.369,2017/10/31 22:20:00,2017/10/31 22:30:00,0
F1070,汽车北站,431360.338,2889514.369,2017/10/31 22:30:00,2017/10/31 22:40:00,0
F1070,汽车北站,431361.338,2889515.369,2017/10/31 22:40:00,2017/10/31 22:50:00,0
F1070,汽车北站,431362.338,2889516.369,2017/10/31 22:50:00,2017/10/31 23:00:00,0
F1070,汽车北站,431363.338,2889517.369,2017/10/31 23:00:00,2017/10/31 23:10:00,0
F1070,汽车北站,431364.338,2889518.369,2017/10/31 23:10:00,2017/10/31 23:20:00,0
F1070,汽车北站,431365.338,2889519.369,2017/10/31 23:20:00,2017/10/31 23:30:00,0
F1070,汽车北站,431366.338,2889520.369,2017/10/31 23:30:00,2017/10/31 23:40:00,0
F1070,汽车北站,431367.338,2889521.369,2017/10/31 23:40:00,2017/10/31 23:50:00,0
F1070,汽车北站,431368.338,2889522.369,2017/10/31 23:50:00,2017/11/1 0:00:00,0
F1070,汽车北站,431369.338,2889523.369,2017/11/1 0:00:00,2017/11/1 0:10:00,0
F1070,汽车北站,431370.338,2889524.369,2017/11/1 0:10:00,2017/11/1 0:20:00,0
F1070,汽车北站,431371.338,2889525.369,2017/11/1 0:20:00,2017/11/1 0:30:00,0
F1070,汽车北站,431372.338,2889526.369,2017/11/1 0:30:00,2017/11/1 0:40:00,0
F1070,汽车北站,431373.338,2889527.369,2017/11/1 0:40:00,2017/11/1 0:50:00,0
F1070,汽车北站,431374.338,2889528.369,2017/11/1 0:50:00,2017/11/1 1:00:00,0
F1070,汽车北站,431375.338,2889529.369,2017/11/1 1:00:00,2017/11/1 1:10:00,0
F1070,汽车北站,431376.338,2889530.369,2017/11/1 1:10:00,2017/11/1 1:20:00,0
F1070,汽车北站,431377.338,2889531.369,2017/11/1 1:20:00,2017/11/1 1:30:00,0
F1070,汽车北站,431378.338,2889532.369,2017/11/1 1:30:00,2017/11/1 1:40:00,0
F1070,汽车北站,431379.338,2889533.369,2017/11/1 1:40:00,2017/11/1 1:50:00,0
F1070,汽车北站,431380.338,2889534.369,2017/11/1 1:50:00,2017/11/1 2:00:00,0
F1070,汽车北站,431381.338,2889535.369,2017/11/1 2:00:00,2017/11/1 2:10:00,0
F1070,汽车北站,431382.338,2889536.369,2017/11/1 2:10:00,2017/11/1 2:20:00,0
F1070,汽车北站,431383.338,2889537.369,2017/11/1 2:20:00,2017/11/1 2:30:00,0
F1070,汽车北站,431384.338,2889538.369,2017/11/1 2:30:00,2017/11/1 2:40:00,0
F1070,汽车北站,431385.338,2889539.369,2017/11/1 2:40:00,2017/11/1 2:50:00,0
F1070,汽车北站,431386.338,2889540.369,2017/11/1 2:50:00,2017/11/1 3:00:00,0
F1070,汽车北站,431387.338,2889541.369,2017/11/1 3:00:00,2017/11/1 3:10:00,0
F1070,汽车北站,431388.338,2889542.369,2017/11/1 3:10:00,2017/11/1 3:20:00,0
F1070,汽车北站,431389.338,2889543.369,2017/11/1 3:20:00,2017/11/1 3:30:00,0
F1070,汽车北站,431390.338,2889544.369,2017/11/1 3:30:00,2017/11/1 3:40:00,0
F1070,汽车北站,431391.338,2889545.369,2017/11/1 3:40:00,2017/11/1 3:50:00,0
F1070,汽车北站,431392.338,2889546.369,2017/11/1 3:50:00,2017/11/1 4:00:00,0
F1070,汽车北站,431393.338,2889547.369,2017/11/1 4:00:00,2017/11/1 4:10:00,0
F1070,汽车北站,431394.338,2889548.369,2017/11/1 4:10:00,2017/11/1 4:20:00,0
F1070,汽车北站,431395.338,2889549.369,2017/11/1 4:20:00,2017/11/1 4:30:00,0
F1070,汽车北站,431396.338,2889550.369,2017/11/1 4:30:00,2017/11/1 4:40:00,0
F1070,汽车北站,431397.338,2889551.369,2017/11/1 4:40:00,2017/11/1 4:50:00,0
F1070,汽车北站,431398.338,2889552.369,2017/11/1 4:50:00,2017/11/1 5:00:00,0
F1070,汽车北站,431399.338,2889553.369,2017/11/1 5:00:00,2017/11/1 5:10:00,0
F1070,汽车北站,431400.338,2889554.369,2017/11/1 5:10:00,2017/11/1 5:20:00,0
F1070,汽车北站,431401.338,2889555.369,2017/11/1 5:20:00,2017/11/1 5:30:00,0
F1070,汽车北站,431402.338,2889556.369,2017/11/1 5:30:00,2017/11/1 5:40:00,0
F1070,汽车北站,431403.338,2889557.369,2017/11/1 5:40:00,2017/11/1 5:50:00,0
F1070,汽车北站,431404.338,2889558.369,2017/11/1 5:50:00,2017/11/1 6:00:00,0
F1070,汽车北站,431405.338,2889559.369,2017/11/1 6:00:00,2017/11/1 6:10:00,0
F1070,汽车北站,431406.338,2889560.369,2017/11/1 6:10:00,2017/11/1 6:20:00,0
F1070,汽车北站,431407.338,2889561.369,2017/11/1 6:20:00,2017/11/1 6:30:00,0
F1070,汽车北站,431408.338,2889562.369,2017/11/1 6:30:00,2017/11/1 6:40:00,0
F1070,汽车北站,431409.338,2889563.369,2017/11/1 6:40:00,2017/11/1 6:50:00,0
F1070,汽车北站,431410.338,2889564.369,2017/11/1 6:50:00,2017/11/1 7:00:00,0
F1070,汽车北站,431411.338,2889565.369,2017/11/1 7:00:00,2017/11/1 7:10:00,0
F1070,汽车北站,431412.338,2889566.369,2017/11/1 7:10:00,2017/11/1 7:20:00,0
F1070,汽车北站,431413.338,2889567.369,2017/11/1 7:20:00,2017/11/1 7:30:00,0
F1070,汽车北站,431414.338,2889568.369,2017/11/1 7:30:00,2017/11/1 7:40:00,0
F1070,汽车北站,431415.338,2889569.369,2017/11/1 7:40:00,2017/11/1 7:50:00,0
F1070,汽车北站,431416.338,2889570.369,2017/11/1 7:50:00,2017/11/1 8:00:00,0
F1070,汽车北站,431417.338,2889571.369,2017/11/1 8:00:00,2017/11/1 8:10:00,0
F1070,汽车北站,431418.338,2889572.369,2017/11/1 8:10:00,2017/11/1 8:20:00,0
F1070,汽车北站,431419.338,2889573.369,2017/11/1 8:20:00,2017/11/1 8:30:00,0
F1070,汽车北站,431420.338,2889574.369,2017/11/1 8:30:00,2017/11/1 8:40:00,0
F1070,汽车北站,431421.338,2889575.369,2017/11/1 8:40:00,2017/11/1 8:50:00,0
F1070,汽车北站,431422.338,2889576.369,2017/11/1 8:50:00,2017/11/1 9:00:00,0
F1070,汽车北站,431423.338,2889577.369,2017/11/1 9:00:00,2017/11/1 9:10:00,0
F1070,汽车北站,431424.338,2889578.369,2017/11/1 9:10:00,2017/11/1 9:20:00,0
F1070,汽车北站,431425.338,2889579.369,2017/11/1 9:20:00,2017/11/1 9:30:00,0
F1070,汽车北站,431426.338,2889580.369,2017/11/1 9:30:00,2017/11/1 9:40:00,0
F1070,汽车北站,431427.338,2889581.369,2017/11/1 9:40:00,2017/11/1 9:50:00,0
F1070,汽车北站,431428.338,2889582.369,2017/11/1 9:50:00,2017/11/1 10:00:00,0
F1070,汽车北站,431429.338,2889583.369,2017/11/1 10:00:00,2017/11/1 10:10:00,0
F1070,汽车北站,431430.338,2889584.369,2017/11/1 10:10:00,2017/11/1 10:20:00,0
F1070,汽车北站,431431.338,2889585.369,2017/11/1 10:20:00,2017/11/1 10:30:00,0
F1070,汽车北站,431432.338,2889586.369,2017/11/1 10:30:00,2017/11/1 10:40:00,0
F1070,汽车北站,431433.338,2889587.369,2017/11/1 10:40:00,2017/11/1 10:50:00,0
F1070,汽车北站,431434.338,2889588.369,2017/11/1 10:50:00,2017/11/1 11:00:00,0
F1070,汽车北站,431435.338,2889589.369,2017/11/1 11:00:00,2017/11/1 11:10:00,0
F1070,汽车北站,431436.338,2889590.369,2017/11/1 11:10:00,2017/11/1 11:20:00,0
F1070,汽车北站,431437.338,2889591.369,2017/11/1 11:20:00,2017/11/1 11:30:00,0
F1070,汽车北站,431438.338,2889592.369,2017/11/1 11:30:00,2017/11/1 11:40:00,0
F1070,汽车北站,431439.338,2889593.369,2017/11/1 11:40:00,2017/11/1 11:50:00,0
F1070,汽车北站,431440.338,2889594.369,2017/11/1 11:50:00,2017/11/1 12:00:00,0
F1070,汽车北站,431441.338,2889595.369,2017/11/1 12:00:00,2017/11/1 12:10:00,0
F1070,汽车北站,431442.338,2889596.369,2017/11/1 12:10:00,2017/11/1 12:20:00,0
F1070,汽车北站,431443.338,2889597.369,2017/11/1 12:20:00,2017/11/1 12:30:00,0
F1070,汽车北站,431444.338,2889598.369,2017/11/1 12:30:00,2017/11/1 12:40:00,0
F1070,汽车北站,431445.338,2889599.369,2017/11/1 12:40:00,2017/11/1 12:50:00,0
F1070,汽车北站,431446.338,2889600.369,2017/11/1 12:50:00,2017/11/1 13:00:00,0
F1070,汽车北站,431447.338,2889601.369,2017/11/1 13:00:00,2017/11/1 13:10:00,0
F1070,汽车北站,431448.338,2889602.369,2017/11/1 13:10:00,2017/11/1 13:20:00,0
F1070,汽车北站,431449.338,2889603.369,2017/11/1 13:20:00,2017/11/1 13:30:00,0
F1070,汽车北站,431450.338,2889604.369,2017/11/1 13:30:00,2017/11/1 13:40:00,0
F1070,汽车北站,431451.338,2889605.369,2017/11/1 13:40:00,2017/11/1 13:50:00,0
F1070,汽车北站,431452.338,2889606.369,2017/11/1 13:50:00,2017/11/1 14:00:00,0
F1070,汽车北站,431453.338,2889607.369,2017/11/1 14:00:00,2017/11/1 14:10:00,0
F1070,汽车北站,431454.338,2889608.369,2017/11/1 14:10:00,2017/11/1 14:20:00,0
F1070,汽车北站,431455.338,2889609.369,2017/11/1 14:20:00,2017/11/1 14:30:00,0
F1070,汽车北站,431456.338,2889610.369,2017/11/1 14:30:00,2017/11/1 14:40:00,0
F1070,汽车北站,431457.338,2889611.369,2017/11/1 14:40:00,2017/11/1 14:50:00,0
F1070,汽车北站,431458.338,2889612.369,2017/11/1 14:50:00,2017/11/1 15:00:00,0
F1070,汽车北站,431459.338,2889613.369,2017/11/1 15:00:00,2017/11/1 15:10:00,0
F1070,汽车北站,431460.338,2889614.369,2017/11/1 15:10:00,2017/11/1 15:20:00,0
F1070,汽车北站,431461.338,2889615.369,2017/11/1 15:20:00,2017/11/1 15:30:00,0
F1070,汽车北站,431462.338,2889616.369,2017/11/1 15:30:00,2017/11/1 15:40:00,0
F1070,汽车北站,431463.338,2889617.369,2017/11/1 15:40:00,2017/11/1 15:50:00,0
F1070,汽车北站,431464.338,2889618.369,2017/11/1 15:50:00,2017/11/1 16:00:00,0
F1070,汽车北站,431465.338,2889619.369,2017/11/1 16:00:00,2017/11/1 16:10:00,0
F1070,汽车北站,431466.338,2889620.369,2017/11/1 16:10:00,2017/11/1 16:20:00,0
F1070,汽车北站,431467.338,2889621.369,2017/11/1 16:20:00,2017/11/1 16:30:00,0
F1070,汽车北站,431468.338,2889622.369,2017/11/1 16:30:00,2017/11/1 16:40:00,0
F1070,汽车北站,431469.338,2889623.369,2017/11/1 16:40:00,2017/11/1 16:50:00,0
